Site,Plot,Sub_plot,Height_2020,Height_2021,Height_2022,Height_2023,Height_2024,Distance to Conspecific,Germinant_ID,Count,Tooth Pick ,,Note
JCMH,5,E,25,MAD,,,,125,PICHYB,1,blue heart,,
JCMH,5,E,18,MAD,,,,104,TSUHET,1,yellow club,,
JCMH,5,F,,23,30,30,34,160,ABILAS,0,blue heart,,
JCMH,6,A,90,133,161,Dead,,140,ABILAS,1,yellow diamond ,,
JCMH,6,A,83,32,MAD,Dead,,152,ABILAS,1,orange heart,,
JCMH,6,A,33,53,72,68,71,158,ABILAS,1,white diamond,,
JCMH,6,A,40,45,63,48,53,160,ABILAS,1,blue heart,,
JCMH,6,A,55,54,76,64,dead,156,ABILAS,1,red diamond,,
JCMH,6,B,,0,,,,,,0,,,
JCMH,6,C,20,MAD,,,,113,ABILAS,1,yellow diamond ,,
JCMH,6,C,60,MAD,,,,110,ABILAS,1,red spade,,
JCMH,6,C,43,MAD,,,,920,PICHYB,1,green diamond,,
JCMH,6,D,190,MAD,346,340,301,98,ABILAS,1,red spade,,top branch broken
JCMH,6,D,22,MAD,,,,122,ABILAS,1,blue heart,,
JCMH,6,D,20,MAD,,,,90,ABILAS,1,yellow diamond ,,disturbed and out of ground
JCMH,6,D,80,181,346,183,200,120,ABILAS,1,white spade,,
JCMH,6,E,40,MAD,,,,183,ABILAS,1,green diamond ,,
JCMH,6,E,19,35,35,37,40,205,ABILAS,1,blue club,,
JCMH,6,E,32,MAD,,,,158,ABILAS,1,red heart,,
JCMH,6,E,34,MAD,,,,166,ABILAS,1,blue diamond ,,
JCMH,6,E,,42,49,38,32,151,TSUHET,1,green spade ,,
JCMH,6,F,40,44,71,42,45,61,ABILAS,1,orange diamond,,
JCMH,7,A,500,MAD,,,,90,ABILAS,1,white diamond ,,
JCMH,7,A,250,MAD,,,,83,ABILAS,1,red club ,,
JCMH,7,A,500,MAD,,,,81,ABILAS,1,blue club ,,
JCMH,7,B,,0,,,,,,0,,,
JCMH,7,C,91,173,302,302,358,176,ABILAS,1,white club ,,
JCMH,7,C,190,299,280,300,309,163,ABILAS,1,blue diamond,,
JCMH,7,C,140,161,255,181,190,180,ABILAS,1,red heart,,
JCMH,7,C,230,245,306,288,337,190,ABILAS,1,orange spade,,
JCMH,7,D,,,,,,,,,,,
JCMH,7,E,,0,,,,,,0,,,
JCMH,7,F,,292,376,,,238,ABILAS,1,orange heart,,
JCMH,7,F,,282,341,,,251,ABILAS,1,blue club,,
JCMH,8,A,18,18,34,,,86,ABILAS,1,yellow diamond,,
JCMH,8,A,23,21,7,,,98,ABILAS,1,white club ,,
JCMH,8,B,350,362,375,372,335,150,ABILAS,1,yellow spade ,,
JCMH,8,C,40,52,55,Dead,,256,ABILAS,1,blue club,,
JCMH,8,C,60,72,94,112,MAD,253,ABILAS,1,white club ,,
JCMH,8,C,,,58,MAD,,261,ABILAS,1,blue heart,,
JCMH,8,D,30,37,40,Dead,,123,ABILAS,1,red heart,,
JCMH,8,D,25,MAD,,,,119,ABILAS,1,yellow spade,,
JCMH,8,E,,0,,,,,,0,,,
JCMH,8,F,630,620,673,666,645,130,ABILAS,1,yellow club,,
JCMH,8,F,720,690,765,763,760,116,ABILAS,1,white diamond,,
JCMH,8,F,40,MAD,37,37,39,122,ABILAS,1,orange spade,,
JCMH,9,A,73,83,MAD,,,213,ABILAS,1,blue heart ,,
JCMH,9,A,20,MAD,,,,86,ABILAS,1,white spade,,
JCMH,9,B,,0,,,,,,0,,,
JCMH,9,C,90,109,135,Dead,,139,ABILAS,1,yellow heart ,,
JCMH,9,D,,0,,,,,,0,,,
JCMH,9,E,,0,,,,,,0,,,
JCMH,9,F,33,43,30,40,45,158,ABILAS,1,orange heart,,
JCMH,10,A,18,21,30,MAD,,60,ABILAS,1,green diamond ,,
JCMH,10,B,80,99,110,113,121,103,ABILAS,1,orange club,,
JCMH,10,C,20,MAD,,,,36,ABILAS,1,blue spade,,
JCMH,10,D,,0,,,,,,0,,,
JCMH,10,E,18,MAD,,MAD,,38,ABILAS,1,yellow club,,
JCMH,10,E,30,30,40,35,40,56,ABILAS,1,green heart ,,
JCMH,10,F,380,360,141,Dead,,101,ABILAS,1,orange spade,,
JCMH,10,F,370,390,465,506,366,69,ABILAS,1,orange diamond,,
JCMH,10,F,100,115,118,229,213,58,ABILAS,1,blue diamond ,,
JCMH,10,F,100,120,122,,133,69,ABILAS,1,white diamond,,
JCMH,10,F,150,205,210,180,207,49,ABILAS,1,red club ,,seemed like it should be outside plot
JCMH,10,F,,,376,380,366,69,ABILAS,,white heart ,,
JCMH,11,A,28,28,41,20,MAD,137,ABILAS,1,blue heart,,
JCMH,11,A,45,34,MAD,,,134,ABILAS,1,orange diamond ,,
JCMH,11,B,,0,,,,,,0,,,
JCMH,11,C,,0,,,,,,0,,,
JCMH,11,D,21,MAD,,,,411,PICHYB,1,yellow spade,,
JCMH,11,D,18,32,,MAD,,193,ABILAS,1,green club,,
JCMH,11,E,320,355,480,356,385,108,ABILAS,1,white heart ,,
JCMH,11,E,670,635,691,600,dead,115,ABILAS,1,orange heart ,,
JCMH,11,F,,0,,,,,,0,,,
JCMH,12,A,12,MAD,,,,108,ABILAS,1,white heart,,
JCMH,12,B,250,253,285,280,305,128,ABILAS,1,red heart ,,
JCMH,12,C,,0,,,,,,0,,,
JCMH,12,D,280,295,375,375,359,87,ABILAS,1,green diamond ,,
JCMH,12,D,120,167,155,192,MAD,72,ABILAS,1,yellow diamond,,
JCMH,12,D,300,188,231,Dead,dead,62,ABILAS,1,orange spade,,
JCMH,12,D,230,244,310,271,270,71,ABILAS,1,yellow spade,,
JCMH,12,D,200,13.8,305,296,269,89,ABILAS,1,green heart ,,
JCMH,12,D,290,274,182,312,279,83,ABILAS,1,red diamond,,
JCMH,12,D,220,226,271,271,241,77,ABILAS,1,white spade,,
JCMH,12,E,17,MAD,,,,138,ABILAS,1,blue diamond ,,
JCMH,12,E,50,35,MAD,,,114,ABILAS,1,orange spade,,
JCMH,12,F,30,MAD,,,,152,ABILAS,1,orange diamond ,,
JCMH,12,F,,,,41,32,187,ABILAS,1,yellow diamond,,
JCMH,13,A,11,MAD,,,,330,ABILAS,1,blue spade ,,
JCMH,13,B,,0,,,,,,0,,,
JCMH,13,C,,0,,,,,,0,,,
JCMH,13,D,18,23,37,39,31,50,ABILAS,1,white spade,,
JCMH,13,D,30,36,39,Dead,,73,ABILAS,1,red club ,,
JCMH,13,D,42,47,52,57,31,77,ABILAS,1,yellow diamond,,
JCMH,13,D,28,21,25,52,28,84,ABILAS,1,blue club,,
JCMH,13,D,,,,5,MAD,56,ABILAS,1,,,
JCMH,13,E,75,64,Dead,,,69,ABILAS,1,red heart,,
JCMH,13,F,22,MAD,,,,118,ABILAS,1,white club ,,
JCMH,14,A,500,430,505,565,600,50,ABILAS,1,red diamond,,
JCMH,14,A,510,310,483,484,343,67,ABILAS,1,white heart,,
JCMH,14,A,,,23,MAD,,NA,ABILAS,1,red heart,,
JCMH,14,B,25,22,35,28,26,232,ABILAS,1,blue club,,
JCMH,14,B,23,24,34,26,32,239,ABILAS,1,red club ,,
JCMH,14,B,8,31,34,16,25,245,ABILAS,1,green spade ,,
JCMH,14,B,36,34,MAD,MAD,,235,ABILAS,1,white spade ,,
JCMH,14,B,8,9,38,29,24,236,ABILAS,1,green heart ,,
JCMH,14,B,18,25,27,21,22,247,ABILAS,1,yellow heart ,,
JCMH,14,B,19,30,29,20,33,255,ABILAS,1,orange diamond,,
JCMH,14,B,16,11,18,19,27,180,PICHYB,1,green club,,
JCMH,14,B,17,19,MAD,30,36,1183,PICHYB,1,yellow diamond,,
JCMH,14,B,12,MAD,,,,254,ABILAS,1,white heart,,
JCMH,14,B,8,23,MAD,,,225,ABILAS,1,white club ,,
JCMH,14,B,6,MAD,,,,245,ABILAS,1,blue heart,,
JCMH,14,B,19,10,30,15,37,257,ABILAS,1,green diamond,,
JCMH,14,B,3,16,19,21,17,253,ABILAS,1,orange spade,,
JCMH,14,B,,,,15,MAD,163,ABILAS,1,yellow club,,
JCMH,14,B,,,27,18,22,NA,ABILAS,1,red heart,,
JCMH,14,C,,0,,,,,,0,,,
JCMH,14,D,,0,,,,,,0,,,
JCMH,14,E,360,370,390,398,403,93,ABILAS,1,blue heart,,
JCMH,14,F,729,MAD,,,,15,ABILAS,1,white club ,,
JCMH,15,A,,28,Dead,,,370,ABILAS,1,blue heart,,
JCMH,15,B,,44,55,58,55,280,ABILAS,1,green diamond,,
JCMH,15,B,,15,,,,132,ABILAS,1,white spade,,
JCMH,15,C,,,,22,22,138,ABILAS,1,white diamond,,
JCMH,15,D,,,320,360,322,173,ABILAS,1,NA,,
JCMH,15,E,,,,18,MAD,231,ABILAS,1,red club ,,
JCMH,15,F,,121,134,138,139,250,ABILAS,1,red heart,,
JCMH,15,F,,42,49,49,52,252,ABILAS,1,blue diamond,,
JCMH,15,F,,14,18,17,24,263,ABILAS,1,white spade,,
JCMH,15,F,,,,18,22,231,ABILAS,1,red club ,,
JCMH,16,A,,0,,,,,0,0,,,
JCMH,16,B,,0,,,,,0,0,,,
JCMH,16,C,,0,,,,,0,0,,,
JCMH,16,D,,465,467,473,488,245,ABILAS,1,yellow club,,
JCMH,16,E,,22,22,Dead,,354,TSUHET,1,blue club,,
JCMH,16,E,,,49,MAD,,151,ABILAS,1,white heart,,
JCMH,16,E,,33,33,Dead,,170,ABILAS,1,red club ,,
JCMH,16,F,,221,397,242,284,30,ABILAS,1,red club ,,
JCMH,16,F,,162,178,192,,31.2,ABILAS,1,green spade ,,
JCMH,16,F,,225,360,291,226,30,ABILAS,1,white spade,,
JCMH,16,F,,270,319,315,264,30,ABILAS,1,yellow heart ,,
JCMH,16,F,,269,105,137,dead,54.1,ABILAS,1,blue spade,,
JCMH,16,F,,20,MAD,MAD,,54.1,ABILAS,1,yellow diamond,,
JCMH,16,F,,91,137,96,86,59.4,ABILAS,1,green heart ,,
JCMH,16,F,,122,145,112,115,55.7,ABILAS,1,orange heart,,
JCMH,17,A,,,,21,MAD,336,ABILAS,1,blue heart,,
JCMH,17,A,,0,,5,13,335,ABILAS,1,red diamond,,
JCMH,17,B,,33,45,28,33,369,ABILAS,1,blue diamond,,
JCMH,17,C,,0,,,,,0,0,,,
JCMH,17,D,,32,39,Dead,,239,ABILAS,1,orange heart,,
JCMH,17,D,,21,22,25,22,245,ABILAS,1,blue spade,,
JCMH,17,D,,,,9,13,221,ABILAS,1,blue heart,,
JCMH,17,D,,,,19,21,236,ABILAS,1,red heart,,
JCMH,17,E,,0,,,,,0,0,,,
JCMH,17,F,,135,170,150,164,524,ABILAS,1,blue diamond,,
JCMH,17,F,,,14,Dead,,189,ABILAS,1,white heart,,
JCMH,17,F,,199,251,222,238,543,ABILAS,1,red spade,,
,10,A,,,,,15,140,pincon,1,orange heart,,
,10,B,,,,,20,123,ABILAS,1,blue heart,,
,10,B,,,,,21,215,pincon,1,green diamond ,,
,10,D,,,,,5,73,pincon,1,blue diamond,,
,10,D,,,,,20,228,ABILAS,1,orange heart,,
,10,D,,,,,7,220,ABILAS,1,white heart,,
,10,D,,,,,20,215,ABILAS,1,red club ,,
,10,D,,,,,30,202,ABILAS,1,yellow spade,,
,10,D,,,,,5,60,pincon,1,green heart ,,
,10,D,,,,,18,190,ABILAS,1,white club ,,
,10,E,,,,,15,172,ABILAS,1,yellow diamond,,
,10,F,,,,,15,122,ABILAS,1,green heart ,,
,6,A,,,,,13,25,pincon,,red diamond,,
,14,A,,,,,17,66,ABILAS,,blue club,,
,14,A,,,,,4,50,ABILAS,,green diamond,,
,14,A,,,,,12,62,ABILAS,,red diamond,,
,14,A,,,,,8,56,ABILAS,,red club ,,
,14,C,,,,,33,76,ABILAS,,red heart,,
,14,C,,,,,31,64,ABILAS,,yellow heart ,,
,14,C,,,,,24,70,ABILAS,,green spade ,,
,14,C,,,,,21,54,ABILAS,,blue heart,,looks dry
,14,C,,,,,32,74,ABILAS,,blue diamond,,
,14,C,,,,,27,43,ABILAS,,orange heart,,
,14,C,,,,,16,45,ABILAS,,blue spade,,
,14,D,,,,,24,81,ABILAS,,yellow diamond,,
,14,D,,,,,4,65,ABILAS,,yellow heart ,,
,14,D,,,,,14,88,ABILAS,,red club ,,
,14,D,,,,,19,85,ABILAS,,blue spade,,
,14,D,,,,,14,81,ABILAS,,orange heart,,
,14,D,,,,,8,62,ABILAS,,green club,,
,14,B,,,,,23,243,ABILAS,,white club ,,
,14,B,,,,,17,242,ABILAS,,red diamond 2,,
,14,B,,,,,17,238,ABILAS,,red spade 2,,
,14,B,,,,,18,247,ABILAS,,yellow heart 2,,
,14,B,,,,,21,238,ABILAS,,orange diamond 2,,
,14,B,,,,,17,244,ABILAS,,green diamond,,
,14,B,,,,,23,240,ABILAS,,green heart ,,
,14,B,,,,,14,246,ABILAS,,green spade ,,
,14,B,,,,,21,245,ABILAS,,green club,,
,14,B,,,,,19,244,ABILAS,,red diamond,,
,14,B,,,,,18,250,ABILAS,,red heart,,
,14,B,,,,,18,247,ABILAS,,red spade,,
,14,B,,,,,16,246,ABILAS,,red club ,,
,14,B,,,,,31,251,ABILAS,,purple diamond,,
,14,B,,,,,18,251,ABILAS,,purple spade,,
,14,B,,,,,17,253,ABILAS,,purple club,,
,14,B,,,,,14,253,ABILAS,,purple heart,,
,14,B,,,,,15,265,ABILAS,,yellow diamond,,
,14,B,,,,,18,269,ABILAS,,yellow spade,,
,14,B,,,,,17,264,ABILAS,,yellow club,,
,14,B,,,,,16,264,ABILAS,,yellow heart,,
,8,F,,,,,20,120,ABILAS,,yellow heart,,dry looking
,8,A,,,,,25,114,ABILAS,,blue diamond,,
,8,A,,,,,23,151,ABILAS,,green diamond,,
,8,A,,,,,12,133,ABILAS,,red heart,,dry looking
,8,D,,,,,17,134,ABILAS,,red spade,,
,8,D,,,,,6,113,ABILAS,,blue club,,
,12,A,,,,,7,90,pincon,,blue heart,,
,12,A,,,,,16,165,ABILAS,,white heart,,
,12,A,,,,,15,740,TSUHET,,orange diamond,,
,12,A,,,,,21,165,ABILAS,,red club ,,
,12,A,,,,,18,740,ABILAS,,green diamond,,
,12,B,,,,,16,740,ABILAS,,blue heart,,
,12,B,,,,,9,740,ABILAS,,orange spade,,
,14,F,,,,,15,434,ABILAS,,yellow club,,
,14,F,,,,,13,437,ABILAS,,green diamond,,
,14,F,,,,,20,429,ABILAS,,yellow heart,,
,14,F,,,,,20,422,ABILAS,,orange diamond,,
,14,F,,,,,21,426,ABILAS,,red club ,,
,14,F,,,,,15,393,ABILAS,,red heart,,
,14,F,,,,,7,387,ABILAS,,green heart ,,
,14,F,,,,,20,390,ABILAS,,green spade ,,
,14,E,,,,,10,1231,ABILAS,,red diamond,,
,14,E,,,,,15,118,ABILAS,,yellow heart,,
,14,E,,,,,20,102,ABILAS,,yellow spade,,
,12,E,,,,,21,140,TSUHET,,blue diamond,,
,12,F,,,,,13,140,TSUHET,,orange heart,,
,13,A,,,,,22,315,ABILAS,,red heart,,
,13,A,,,,,14,325,ABILAS,,green heart ,,
,13,A,,,,,14,350,ABILAS,,white diamond,,
,13,A,,,,,14,310,ABILAS,,yellow club,,
,13,A,,,,,16,350,ABILAS,,red club ,,
,13,A,,,,,4,360,ABILAS,,blue heart,,
,13,B,,,,,22,204,ABILAS,,orange heart,,
,13,B,,,,,11,200,ABILAS,,yellow diamond,,
,13,B,,,,,19,173,ABILAS,,blue spade,,
,13,C,,,,,13,237,ABILAS,,yellow heart,,
,13,C,,,,,22,243,ABILAS,,white spade,,
,13,C,,,,,4,214,ABILAS,,blue spade,,
,13,C,,,,,24,219,ABILAS,,yellow diamond,,
,13,D,,,,,19,85,ABILAS,,orange heart,,
,13,D,,,,,9,69,ABILAS,,red heart,,
,13,D,,,,,10,52,ABILAS,,blue spade,,
,13,D,,,,,18,58,ABILAS,,green diamond,,
,13,D,,,,,16,63,ABILAS,,green spade ,,
,13,E,,,,,14,204,ABILAS,,red heart,,
,13,F,,,,,3,126,ABILAS,,red heart ,,
,9,D,,,,,25,35,ABILAS,,green diamond,,
,9,C,,,,,25,144,ABILAS,,blue heart,,
,9,C,,,,,25,144,ABILAS,,orange spade,,
,9,C,,,,,30,964,TSUHET,,red diamond,,
,9,C,,,,,38,143,ABILAS,,white club ,,
,9,B,,,,,25,403,ABILAS,,blue heart,,
,9,B,,,,,30,390,ABILAS,,yellow club,,
,9,B,,,,,35,273,ABILAS,,blue club,,
,9,B,,,,,30,400,ABILAS,,red diamond,,
,9,A,,,,,15,257,ABILAS,,blue diamond,,
,14,A,,,,,20,256,ABILAS,,red club ,,
,14,A,,,,,18,252,ABILAS,,green heart ,,
,14,B,,,,,24,262,ABILAS,,orange club,,
,14,B,,,,,13,264,ABILAS,,orange diamond,,
,14,B,,,,,16,268,ABILAS,,orange spade,,
,14,B,,,,,13,256,ABILAS,,orange heart,,
,14,B,,,,,8,256,ABILAS,,blue diamond,,
,14,B,,,,,22,258,ABILAS,,blue heart,,
,14,B,,,,,15,259,ABILAS,,blue spade,,
,14,B,,,,,18,257,ABILAS,,blue club,,
,15,F,,,,,17,183,ABILAS,,orange spade,,
,15,F,,,,,10,185,ABILAS,,white heart,,
,15,E,,,,,9,105,ABILAS,,blue club,,
,15,E,,,,,20,124,ABILAS,,red heart,,
,15,D,,,,,37,173,ABILAS,,green diamond,,
,15,D,,,,,14,201,ABILAS,,red club ,,almost dead
,15,C,,,,,8,162,ABILAS,,red heart,,dry looking
,15,C,,,,,12,150,ABILAS,,green heart ,,
,15,C,,,,,6,160,ABILAS,,orange spade,,
,15,B,,,,,22,113,ABILAS,,yellow heart,,
,15,B,,,,,9,90,ABILAS,,blue heart,,
,15,A,,,,,12,73,ABILAS,,orange spade,,
,15,A,,,,,13,42,ABILAS,,white heart,,
,15,A,,,,,9,40,ABILAS,,green diamond,,
,15,A,,,,,4,26,ABILAS,,yellow heart,,
,15,A,,,,,12,44,ABILAS,,blue heart,,
,16,A,,,,,24,158,ABILAS,,blue club,,
,16,A,,,,,19,155,ABILAS,,red heart,,
,16,A,,,,,7,151,ABILAS,,green spade ,,
,16,A,,,,,14,175,ABILAS,,yellow heart,,
,16,A,,,,,11,166,ABILAS,,red spade,,
,16,B,,,,,16,234,ABILAS,,green diamond,,
,16,B,,,,,16,214,ABILAS,,white heart,,
,16,B,,,,,14,240,ABILAS,,blue club,,
,16,B,,,,,24,218,ABILAS,,orange spade,,
,16,B,,,,,15,199,ABILAS,,green heart ,,
,16,B,,,,,12,208,ABILAS,,blue heart,,
,16,B,,,,,23,210,ABILAS,,yellow spade,,
,16,B,,,,,17,236,ABILAS,,green spade ,,
,16,C,,,,,19,118,ABILAS,,green diamond,,
,16,C,,,,,22,134,ABILAS,,orange club,,
,16,C,,,,,16,119,ABILAS,,yellow heart,,
,16,C,,,,,24,136,ABILAS,,yellow spade,,
,16,C,,,,,28,135,ABILAS,,white club ,,
,17,F,,,,,13,188,ABILAS,,red heart,,
,17,A,,,,,22,358,ABILAS,,green heart ,,
,17,A,,,,,14,355,ABILAS,,white heart,,
,17,A,,,,,12,323,ABILAS,,orange spade,,
,16,E,,,,,6,187,ABILAS,,green club,,
,16,E,,,,,4,175,ABILAS,,yellow spade,,
,16,E,,,,,16,184,ABILAS,,blue spade,,
,16,E,,,,,9,185,ABILAS,,blue diamond,,
,16,E,,,,,5,185,ABILAS,,red club ,,
,16,E,,,,,19,185,ABILAS,,yellow heart,,
,16,E,,,,,42,139,ABILAS,,red spade,,
,16,E,,,,,15,162,ABILAS,,yellow diamond,,
,16,E,,,,,7,168,ABILAS,,blue club,,
,16,E,,,,,13,165,ABILAS,,white heart,,
,16,E,,,,,14,165,ABILAS,,green diamond,,
,16,E,,,,,14,166,ABILAS,,yellow club,,
,16,E,,,,,21,167,ABILAS,,red heart,,
,16,E,,,,,10,157,ABILAS,,white diamond,,
