Site,Plot,Sub_plot,ht 2022,ht 2023,Dist.consp,Germinant_I,Count,Tooth Pick,Notes
JCMH,13,D,37,,235,ABILAS,1,Y Diamond,Slightly yellow
JCMH,13,D,52,,236,ABILAS,1,B Club,
JCMH,13,E,dead,,247,ABILAS,1,R heart,
JCMH,13,F,,,255,ABILAS,1,W Club ,
JCMH,14,A,505,,180,PICHYB,1,R Diamond,
JCMH,14,A,483,,1183,PICHYB,1,W Heart,
JCMH,14,A,23,,,ABILAS,,R Heart,
JCMH,14,B,35,,254,ABILAS,1,B Club,
JCMH,14,B,,,225,ABILAS,1,R Club ,
JCMH,14,B,18,,245,ABILAS,1,G Spade,
JCMH,14,B,30,,257,ABILAS,1,W Spade ,Yellowing
JCMH,14,B,38,,253,ABILAS,1,G Heart ,Squished by rock
JCMH,14,B,34,,,,0,Y Heart,
JCMH,14,B,29,,,,0,O diamond,
JCMH,14,B,19,,93,ABILAS,1,G club,
JCMH,14,B,34,,15,ABILAS,1,Y Diamond,
JCMH,14,B,MAD,,,,,W Heart,
JCMH,14,B,,,,,,W Club ,
JCMH,14,B,,,,,,B Heart,
JCMH,14,B,MAD,,,,,G Diamond,
JCMH,14,B,27,,,,,O Spade,
JCMH,14,C,,,,,,,
JCMH,14,D,,,,,,,
JCMH,14,E,390,,,,,B Heart,
JCMH,14,F,,,,,,W Club ,
JCMH,15,A,dead,,,,,,
JCMH,15,B,55,,,,,G Diamond,
JCMH,15,C,,,,,,,Tag removed
JCMH,15,D,320,,173,ABILAS,,,
JCMH,15,E,,,,,,,
JCMH,15,F,49,,,,,B Diamond,
JCMH,15,F,134,,,,,R Heart,
JCMH,15,F,18,,,,,W Spade,
JCMH,16,A,,,,,,,
JCMH,16,B,,,,,,,
JCMH,16,C,,,,,,,
JCMH,16,D,467,,,,,Y Club,
JCMH,16,E,33,,,ABILAS,,R Club,
JCMH,16,E,22,,,TSUHET,,Y Diamond,"One green needle, rest dead"
JCMH,16,E,49,,151.5,ABILAS,1,,
JCMH,16,F,105,,,,,G Heart,Looks dead; only 1 live branch
JCMH,16,F,178,,,,,G Heart,Green spade
JCMH,16,F,137,,,,,O Heart,
JCMH,16,F,145,,,,,R Club,
JCMH,16,F,397,,,,,R Heart,Marked with read heart and corrected tag position
JCMH,16,F,360,,,,,W Heart,Marked with W Heart and tag corrected
JCMH,16,F,MAD,,,,,Y Diamond,
JCMH,16,F,319,,,,,W Heart,
JCMH,17,A,,,,,,,
JCMH,17,B,45,,,,,B Diamond,
JCMH,17,C,,,,,,,
JCMH,17,D,22,,,,,O Heart,
JCMH,17,D,39,,,,,B Spade,
JCMH,17,E,,,,,,NA,
JCMH,17,F,170,,,,,B Diamond,
JCMH,17,F,251,,,,,R Spade,
JCMH,17,F,14,,189,ABILAS,,,Looks a little yellow
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,W Heart,
