Site,Plot,Sub_plot,Height_2020,Height_2021,Height_2022,Height_2023,Distance to Conspecific,Germinant_ID,Count_2020,Count_2021,Count_2022,Count_2023,Tooth Pick ,,Note
JCMH,6,A,33,53,72,68,158,ABILAS,1,1,1,1,white diamond,,
JCMH,6,A,40,45,63,48,160,ABILAS,1,1,1,1,blue heart,,
JCMH,6,A,55,54,76,64,156,ABILAS,1,1,1,1,red diamond,,only 3 needles left
JCMH,6,B,,0,,,,,0,0,0,0,,,
JCMH,6,C,20,MAD,,,113,ABILAS,1,0,0,0,yellow diamond ,,
JCMH,6,C,60,MAD,,,110,ABILAS,1,0,0,0,red spade,,
JCMH,6,C,43,MAD,,,920,PICHYB,1,0,0,0,green diamond,,
JCMH,6,D,190,MAD,346,340,98,ABILAS,1,0,0,0,red spade,,
JCMH,6,D,22,MAD,,,122,ABILAS,1,0,0,0,blue heart,,out of ground; 2023 hevily disturbed
JCMH,6,D,20,MAD,,,90,ABILAS,1,0,0,0,yellow diamond ,,
JCMH,6,D,80,181,346,183,120,ABILAS,1,1,1,1,white spade,,"no white spade, but tall seedling on SW side. Added new spade."
JCMH,6,E,40,MAD,,,183,ABILAS,1,0,0,0,green diamond ,,
JCMH,6,E,19,35,35,37,205,ABILAS,1,1,1,1,blue club,,partially brown
JCMH,6,E,32,MAD,,,158,ABILAS,1,0,0,0,red heart,,not in ground 
JCMH,6,E,34,MAD,,,166,ABILAS,1,0,0,0,blue diamond ,,
JCMH,6,E,,42,49,38,151,TSUHET,1,1,1,1,green spade ,,partially brown
JCMH,6,F,40,44,71,42,61,ABILAS,1,1,1,1,orange diamond,,
JCMH,7,A,500,MAD,,,90,ABILAS,1,0,0,0,white diamond ,,
JCMH,7,A,250,MAD,,,83,ABILAS,1,0,0,0,red club ,,
JCMH,7,A,500,MAD,,,81,ABILAS,1,0,0,0,blue club ,,
JCMH,7,B,,0,,,,,0,0,0,0,,,
JCMH,7,C,91,173,302,302,176,ABILAS,1,1,1,1,white club ,,
JCMH,7,C,190,299,280,300,163,ABILAS,1,1,1,1,blue diamond,,
JCMH,7,C,140,161,255,181,180,ABILAS,1,1,1,1,red heart,,
JCMH,7,C,230,245,306,288,190,ABILAS,1,1,1,1,orange spade,,
JCMH,7,D,,,,,,,0,0,0,0,,,"couldn't find, made new plot "
JCMH,7,E,,0,,,,,0,0,0,0,,,
JCMH,7,F,,292,376,,238,ABILAS,0,1,1,0,orange heart,,Plot crushed by large tree
JCMH,7,F,,282,341,,251,ABILAS,0,1,1,0,blue club,,
JCMH,8,A,18,18,34,,86,ABILAS,1,1,1,0,yellow diamond,,
JCMH,8,A,23,21,7,,98,ABILAS,1,1,1,0,white club ,,
JCMH,8,B,350,362,375,372,150,ABILAS,1,1,1,1,yellow spade ,,no toothpick; top dead
JCMH,8,C,40,52,55,Dead,256,ABILAS,1,1,1,0,blue club,,
JCMH,8,C,60,72,94,112,253,ABILAS,1,1,1,1,white club ,,
JCMH,8,C,,,58,MAD,261,ABILAS,1,1,1,0,blue heart,,
JCMH,8,D,30,37,40,Dead,123,ABILAS,1,1,1,0,red heart,,
JCMH,8,D,25,MAD,,,119,ABILAS,1,0,0,0,yellow spade,,
JCMH,8,E,,0,,,,,0,0,0,0,,,
JCMH,8,F,630,620,673,666,130,ABILAS,1,1,1,1,yellow club,,
JCMH,8,F,720,690,765,763,116,ABILAS,1,1,1,1,white diamond,,
JCMH,8,F,40,MAD,37,37,122,ABILAS,1,1,1,1,orange spade,,orange club
JCMH,9,A,73,83,MAD,,213,ABILAS,1,1,0,0,blue heart ,,
JCMH,9,A,20,MAD,,,86,ABILAS,1,0,0,0,white spade,,
JCMH,9,B,,0,,,,,0,0,0,0,,,
JCMH,9,C,90,109,135,Dead,139,ABILAS,1,1,1,0,yellow heart ,,
JCMH,9,D,,0,,,,,0,0,0,0,,,
JCMH,9,E,,0,,,,,0,0,0,0,,,
JCMH,9,F,33,43,30,40,158,ABILAS,1,1,1,1,orange heart,,very pale
JCMH,10,A,18,21,30,MAD,60,ABILAS,1,1,1,0,green diamond ,,
JCMH,10,B,80,99,110,113,103,ABILAS,1,1,1,1,orange club,,
JCMH,10,C,20,MAD,,,36,ABILAS,1,0,0,0,blue spade,,
JCMH,10,D,,0,,,,,0,0,0,0,,,
JCMH,10,E,18,MAD,,MAD,38,ABILAS,1,0,0,0,yellow club,,
JCMH,10,E,30,30,40,35,56,ABILAS,1,1,1,1,green heart ,,
JCMH,10,F,380,360,141,Dead,101,ABILAS,1,1,1,0,orange spade,,
JCMH,10,F,370,390,465,506,69,ABILAS,1,1,1,1,orange diamond,,
JCMH,10,F,100,115,118,229,58,ABILAS,1,1,1,1,blue diamond ,,
JCMH,10,F,100,120,122,,69,ABILAS,1,1,1,0,white diamond,,
JCMH,10,F,150,205,210,180,49,ABILAS,1,1,1,1,red club ,,
JCMH,10,F,,,376,380,69,ABILAS,0,0,1,1,white heart ,,top dead
JCMH,11,A,28,28,41,20,137,ABILAS,1,1,1,1,blue heart,,"brown, few needles"
JCMH,11,A,45,34,MAD,,134,ABILAS,1,1,0,0,orange diamond ,,
JCMH,11,B,,0,,,,,0,0,0,0,,,
JCMH,11,C,,0,,,,,0,0,0,0,,,
JCMH,11,D,21,MAD,,,411,PICHYB,1,0,0,0,yellow spade,,
JCMH,11,D,18,32,,MAD,193,ABILAS,1,1,0,0,green club,,a lot of debris
JCMH,11,E,320,355,480,356,108,ABILAS,1,1,1,1,white heart ,,
JCMH,11,E,670,635,691,600,115,ABILAS,1,1,1,1,orange heart ,,
JCMH,11,F,,0,,,,,0,0,0,0,,,
JCMH,12,A,12,MAD,,,108,ABILAS,1,0,0,0,white heart,,
JCMH,12,B,250,253,285,280,128,ABILAS,1,1,1,1,red heart ,,
JCMH,12,C,,0,,,,,0,0,0,0,,,
JCMH,12,D,280,295,375,375,87,ABILAS,1,1,1,1,green diamond ,,
JCMH,12,D,120,167,155,192,72,ABILAS,1,1,1,1,yellow diamond,,
JCMH,12,D,300,188,231,Dead,62,ABILAS,1,1,1,0,orange spade,,
JCMH,12,D,230,244,310,271,71,ABILAS,1,1,1,1,yellow spade,,
JCMH,12,D,200,13.8,305,296,89,ABILAS,1,1,1,1,green heart ,,Half dead
JCMH,12,D,290,274,182,312,83,ABILAS,1,1,1,1,red diamond,,
JCMH,12,D,220,226,271,271,77,ABILAS,1,1,1,1,white spade,,Actually white club
JCMH,12,E,17,MAD,,,138,ABILAS,1,0,0,0,blue diamond ,,
JCMH,12,E,50,35,MAD,,114,ABILAS,1,1,0,0,orange spade,,
JCMH,12,F,30,MAD,,,152,ABILAS,1,0,0,0,orange diamond ,,couldn't find toothpick
JCMH,12,F,,,,41,187,ABILAS,0,0,0,1,yellow diamond,,
JCMH,13,A,11,MAD,,,330,ABILAS,1,0,0,0,blue spade ,,
JCMH,13,B,,0,,,,,0,0,0,0,,,
JCMH,13,C,,0,,,,,0,0,0,0,,,
JCMH,13,D,18,23,37,39,50,ABILAS,1,1,1,1,white spade,,
JCMH,13,D,30,36,39,Dead,73,ABILAS,1,1,1,0,red club ,,
JCMH,13,D,42,47,52,57,77,ABILAS,1,1,1,1,yellow diamond,,turning brown
JCMH,13,D,28,21,25,52,84,ABILAS,1,1,1,1,blue club,,
JCMH,13,D,,,,5,56,ABILAS,0,0,0,1,,,Under ledge of log
JCMH,13,E,75,64,Dead,,69,ABILAS,1,1,0,0,red heart,,very pale brown
JCMH,13,F,22,MAD,,,118,ABILAS,1,0,0,0,white club ,,
JCMH,14,A,500,430,505,565,50,ABILAS,1,1,1,1,red diamond,,
JCMH,14,A,510,310,483,484,67,ABILAS,1,1,1,1,white heart,,leading branch= broken
JCMH,14,A,,,23,MAD,NA,ABILAS,0,0,1,0,red heart,,
JCMH,14,B,25,22,35,28,232,ABILAS,1,1,1,1,blue club,,
JCMH,14,B,23,24,34,26,239,ABILAS,1,1,1,1,red club ,,
JCMH,14,B,8,31,34,16,245,ABILAS,1,1,1,1,green spade ,,green but wilted with yellow edges
JCMH,14,B,36,34,MAD,MAD,235,ABILAS,1,1,0,0,white spade ,,
JCMH,14,B,8,9,38,29,236,ABILAS,1,1,1,1,green heart ,,
JCMH,14,B,18,25,27,21,247,ABILAS,1,1,1,1,yellow heart ,,
JCMH,14,B,19,30,29,20,255,ABILAS,1,1,1,1,orange diamond,,
JCMH,14,B,16,11,18,19,180,PICHYB,1,1,1,1,green club,,
JCMH,14,B,17,19,MAD,30,1183,PICHYB,1,1,1,1,yellow diamond,,
JCMH,14,B,12,MAD,,,254,ABILAS,1,0,0,0,white heart,,toothpick out of ground
JCMH,14,B,8,23,MAD,,225,ABILAS,1,1,0,0,white club ,,
JCMH,14,B,6,MAD,,,245,ABILAS,1,0,0,0,blue heart,,
JCMH,14,B,19,10,30,15,257,ABILAS,1,1,1,1,green diamond,,
JCMH,14,B,3,16,19,21,253,ABILAS,1,1,1,1,orange spade,,
JCMH,14,B,,,,15,163,ABILAS,0,0,0,1,yellow club,,
JCMH,14,B,,,27,18,NA,ABILAS,0,0,1,1,red heart,,
JCMH,14,C,,0,,,,,0,0,0,0,,,
JCMH,14,D,,0,,,,,0,0,0,0,,,
JCMH,14,E,360,370,390,398,93,ABILAS,1,1,1,1,blue heart,,
JCMH,14,F,729,MAD,,,15,ABILAS,1,0,0,0,white club ,,no white club toothpick or large tree
JCMH,15,A,,28,Dead,,370,ABILAS,0,1,0,0,blue heart,,dead/brown
JCMH,15,B,,44,55,58,280,ABILAS,NA,1,1,1,green diamond,,
JCMH,15,B,,15,,,132,ABILAS,NA,1,0,0,white spade,,
JCMH,15,C,,,,22,138,ABILAS,NA,0,0,1,white diamond,,
JCMH,15,D,,,320,360,173,ABILAS,NA,0,1,1,NA,,
JCMH,15,E,,,,18,231,ABILAS,NA,0,0,1,red club ,,
JCMH,15,F,,121,134,138,250,ABILAS,NA,1,1,1,red heart,,
JCMH,15,F,,42,49,49,252,ABILAS,NA,1,1,1,blue diamond,,
JCMH,15,F,,14,18,17,263,ABILAS,NA,1,1,1,white spade,,
JCMH,15,F,,,,18,231,ABILAS,NA,0,0,1,red club ,,
JCMH,16,A,,0,,,,0,NA,0,0,0,,,
JCMH,16,B,,0,,,,0,NA,0,0,0,,,
JCMH,16,C,,0,,,,0,NA,0,0,0,,,
JCMH,16,D,,465,467,473,245,ABILAS,NA,1,1,1,yellow club,,
JCMH,16,E,,22,22,Dead,354,TSUHET,NA,1,1,0,blue club,,
JCMH,16,E,,,49,MAD,151,ABILAS,NA,0,1,0,white heart,,
JCMH,16,E,,33,33,Dead,170,ABILAS,NA,1,1,0,red club ,,
JCMH,16,F,,221,397,242,30,ABILAS,NA,1,1,1,red club ,,"all out of base of adult, not seedling??"
JCMH,16,F,,162,178,192,31.2,ABILAS,NA,1,1,1,green spade ,,"all out of base of adult, not seedling??"
JCMH,16,F,,225,360,291,30,ABILAS,NA,1,1,1,white spade,,"all out of base of adult, not seedling??"
JCMH,16,F,,270,319,315,30,ABILAS,NA,1,1,1,yellow heart ,,"all out of base of adult, not seedling??"
JCMH,16,F,,269,105,137,54.1,ABILAS,NA,1,1,1,blue spade,,"looks dead, only 1 live branch"
JCMH,16,F,,20,MAD,MAD,54.1,ABILAS,NA,1,0,0,yellow diamond,,"all out of base of adult, not seedling??"
JCMH,16,F,,91,137,96,59.4,ABILAS,NA,1,1,1,green heart ,,
JCMH,16,F,,122,145,112,55.7,ABILAS,NA,1,1,1,orange heart,,
JCMH,17,A,,,,21,336,ABILAS,NA,0,0,1,blue heart,,
JCMH,17,A,,0,,5,335,ABILAS,NA,0,0,1,red diamond,,
JCMH,17,B,,33,45,28,369,ABILAS,NA,1,1,1,blue diamond,,top dead
JCMH,17,C,,0,,,,0,NA,0,0,0,,,
JCMH,17,D,,32,39,Dead,239,ABILAS,NA,1,1,0,orange heart,,
JCMH,17,D,,21,22,25,245,ABILAS,NA,1,1,1,blue spade,,
JCMH,17,D,,,,9,221,ABILAS,NA,0,0,1,blue heart,,
JCMH,17,D,,,,19,236,ABILAS,NA,0,0,1,red heart,,
JCMH,17,E,,0,,,,0,NA,0,0,0,,,
JCMH,17,F,,135,170,150,524,ABILAS,NA,1,1,1,blue diamond,,
JCMH,17,F,,,14,Dead,189,ABILAS,NA,0,1,0,white heart,,
JCMH,17,F,,199,251,222,543,ABILAS,NA,1,1,1,red spade,,
