Site,Plitterot,Sp. ,PC%
JCMH,3F,bareground,0
JCMH,3F,nurse log,10
JCMH,3F,vegetation,95
JCMH,4A,litter,5
JCMH,4A,bareground,0
JCMH,4A,nurse log,0
JCMH,4A,vegetation,99
JCMH,4B,litter,20
JCMH,4B,bareground,0
JCMH,4B,nurse log,90
JCMH,4B,vegetation,85
JCMH,4C,litter,15
JCMH,4C,bareground,0
JCMH,4C,nurse log,0
JCMH,4C,vegetation,80
JCMH,4D,litter,60
JCMH,4D,bareground,0
JCMH,4D,nurse log,60
JCMH,4D,vegetation,60
JCMH,4E,litter,30
JCMH,4E,bareground,0
JCMH,4E,nurse log,0
JCMH,4E,vegetation,80
JCMH,4F,litter,80
JCMH,4F,bareground,0
JCMH,4F,nurse log,0
JCMH,4F,vegetation,15
JCMH,5A,litter,100
JCMH,5A,bareground,0
JCMH,5A,nurse log,0
JCMH,5A,vegetation,0
JCMH,5B,litter,80
JCMH,5B,bareground,0
JCMH,5B,nurse log,0
JCMH,5B,vegetation,25
JCMH,5C,litter,70
JCMH,5C,bareground,0
JCMH,5C,nurse log,0
JCMH,5C,vegetation,60
JCMH,5D,litter,NA
JCMH,5D,bareground,NA
JCMH,5D,nurse log,NA
JCMH,5D,vegetation,NA
JCMH,5E,litter,95
JCMH,5E,bareground,0
JCMH,5E,nurse log,0
JCMH,5E,vegetation,10
JCMH,5F,litter,90
JCMH,5F,bareground,0
JCMH,5F,nurse log,0
JCMH,5F,vegetation,15
JCMH,6A,litter,15
JCMH,6A,bareground,0
JCMH,6A,nurse log,75
JCMH,6A,vegetation,75
JCMH,6B,litter,90
JCMH,6B,bareground,0
JCMH,6B,nurse log,0
JCMH,6B,vegetation,30
JCMH,6C,litter,70
JCMH,6C,bareground,0
JCMH,6C,nurse log,0
JCMH,6C,vegetation,40
JCMH,6D,litter,25
JCMH,6D,bareground,0
JCMH,6D,nurse log,0
JCMH,6D,vegetation,80
JCMH,6E,litter,1
JCMH,6E,bareground,0
JCMH,6E,nurse log,5
JCMH,6E,vegetation,100
JCMH,6F,litter,5
JCMH,6F,bareground,0
JCMH,6F,nurse log,0
JCMH,6F,vegetation,100
JCMH,7A,litter,20
JCMH,7A,bareground,0
JCMH,7A,nurse log,0
JCMH,7A,vegetation,90
JCMH,7B,litter,5
JCMH,7B,bareground,0
JCMH,7B,nurse log,0
JCMH,7B,vegetation,95
JCMH,7C,litter,5
JCMH,7C,bareground,0
JCMH,7C,nurse log,0
JCMH,7C,vegetation,95
JCMH,7D,litter,30
JCMH,7D,bareground,0
JCMH,7D,nurse log,0
JCMH,7D,vegetation,80
JCMH,7E,litter,60
JCMH,7E,bareground,0
JCMH,7E,nurse log,0
JCMH,7E,vegetation,70
JCMH,7F,litter,70
JCMH,7F,bareground,0
JCMH,7F,nurse log,30
JCMH,7F,vegetation,30
JCMH,8A,litter,NA
JCMH,8A,bareground,NA
JCMH,8A,nurse log,NA
JCMH,8A,vegetation,NA
JCMH,8B,litter,5
JCMH,8B,bareground,0
JCMH,8B,nurse log,0
JCMH,8B,vegetation,90
JCMH,8C,litter,30
JCMH,8C,bareground,0
JCMH,8C,nurse log,50
JCMH,8C,vegetation,65
JCMH,8D,litter,NA
JCMH,8D,bareground,NA
JCMH,8D,nurse log,NA
JCMH,8D,vegetation,NA
JCMH,8E,litter,90
JCMH,8E,bareground,0
JCMH,8E,nurse log,10
JCMH,8E,vegetation,60
JCMH,8F,litter,5
JCMH,8F,bareground,0
JCMH,8F,nurse log,0
JCMH,8F,vegetation,90
JCMH,9A,litter,5
JCMH,9A,bareground,0
JCMH,9A,nurse log,0
JCMH,9A,vegetation,95
JCMH,9B,litter,5
JCMH,9B,bareground,0
JCMH,9B,nurse log,0
JCMH,9B,vegetation,95
JCMH,9C,litter,10
JCMH,9C,bareground,0
JCMH,9C,nurse log,0
JCMH,9C,vegetation,95
JCMH,9D,litter,15
JCMH,9D,bareground,0
JCMH,9D,nurse log,0
JCMH,9D,vegetation,60
JCMH,9E,litter,NA
JCMH,9E,bareground,NA
JCMH,9E,nurse log,NA
JCMH,9E,vegetation,NA
JCMH,9F,litter,80
JCMH,9F,bareground,0
JCMH,9F,nurse log,0
JCMH,9F,vegetation,30
JCMH,10A,litter,5
JCMH,10A,bareground,0
JCMH,10A,nurse log,5
JCMH,10A,vegetation,95
JCMH,10B,litter,5
JCMH,10B,bareground,0
JCMH,10B,nurse log,5
JCMH,10B,vegetation,95
JCMH,10C,litter,20
JCMH,10C,bareground,0
JCMH,10C,nurse log,20
JCMH,10C,vegetation,80
JCMH,10D,litter,10
JCMH,10D,bareground,0
JCMH,10D,nurse log,10
JCMH,10D,vegetation,90
JCMH,10E,litter,15
JCMH,10E,bareground,0
JCMH,10E,nurse log,0
JCMH,10E,vegetation,90
JCMH,10F,litter,50
JCMH,10F,bareground,0
JCMH,10F,nurse log,0
JCMH,10F,vegetation,70
JCMH,11A,litter,NA
JCMH,11A,bareground,NA
JCMH,11A,nurse log,NA
JCMH,11A,vegetation,NA
JCMH,11B,litter,5
JCMH,11B,bareground,0
JCMH,11B,nurse log,0
JCMH,11B,vegetation,95
JCMH,11C,litter,15
JCMH,11C,bareground,0
JCMH,11C,nurse log,0
JCMH,11C,vegetation,90
JCMH,11D,litter,95
JCMH,11D,bareground,0
JCMH,11D,nurse log,15
JCMH,11D,vegetation,5
JCMH,11E,litter,50
JCMH,11E,bareground,0
JCMH,11E,nurse log,0
JCMH,11E,vegetation,50
JCMH,11F,litter,30
JCMH,11F,bareground,0
JCMH,11F,nurse log,0
JCMH,11F,vegetation,50
JCMH,12A,litter,5
JCMH,12A,bareground,0
JCMH,12A,nurse log,0
JCMH,12A,vegetation,95
JCMH,12B,litter,5
JCMH,12B,bareground,0
JCMH,12B,nurse log,0
JCMH,12B,vegetation,95
JCMH,12C,litter,5
JCMH,12C,bareground,0
JCMH,12C,nurse log,0
JCMH,12C,vegetation,95
JCMH,12D,litter,5
JCMH,12D,bareground,0
JCMH,12D,nurse log,0
JCMH,12D,vegetation,95
JCMH,12E,litter,10
JCMH,12E,bareground,0
JCMH,12E,nurse log,0
JCMH,12E,vegetation,90
JCMH,12F,litter,30
JCMH,12F,bareground,0
JCMH,12F,nurse log,0
JCMH,12F,vegetation,80
JCMH,13A,litter,5
JCMH,13A,bareground,0
JCMH,13A,nurse log,0
JCMH,13A,vegetation,95
JCMH,13B,litter,5
JCMH,13B,bareground,0
JCMH,13B,nurse log,0
JCMH,13B,vegetation,95
JCMH,13C,litter,1
JCMH,13C,bareground,0
JCMH,13C,nurse log,0
JCMH,13C,vegetation,100
JCMH,13D,litter,5
JCMH,13D,bareground,0
JCMH,13D,nurse log,70
JCMH,13D,vegetation,95
JCMH,13E,litter,15
JCMH,13E,bareground,0
JCMH,13E,nurse log,70
JCMH,13E,vegetation,85
JCMH,13F,litter,NA
JCMH,13F,bareground,NA
JCMH,13F,nurse log,NA
JCMH,13F,vegetation,NA
JCMH,14A,litter,70
JCMH,14A,bareground,0
JCMH,14A,nurse log,0
JCMH,14A,vegetation,40
JCMH,14B,litter,20
JCMH,14B,bareground,50
JCMH,14B,nurse log,0
JCMH,14B,vegetation,20
JCMH,14C,litter,10
JCMH,14C,bareground,0
JCMH,14C,nurse log,0
JCMH,14C,vegetation,80
JCMH,14D,litter,10
JCMH,14D,bareground,0
JCMH,14D,nurse log,0
JCMH,14D,vegetation,80
JCMH,14E,litter,20
JCMH,14E,bareground,0
JCMH,14E,nurse log,0
JCMH,14E,vegetation,90
JCMH,14F,litter,50
JCMH,14F,bareground,0
JCMH,14F,nurse log,0
JCMH,14F,vegetation,90
JCMH,15A,litter,5
JCMH,15A,bareground,10
JCMH,15A,nurse log,0
JCMH,15A,vegetation,95
JCMH,15B,litter,40
JCMH,15B,bareground,20
JCMH,15B,nurse log,0
JCMH,15B,vegetation,40
JCMH,15C,litter,25
JCMH,15C,bareground,0
JCMH,15C,nurse log,30
JCMH,15C,vegetation,75
JCMH,15D,litter,15
JCMH,15D,bareground,0
JCMH,15D,nurse log,0
JCMH,15D,vegetation,80
JCMH,15E,litter,5
JCMH,15E,bareground,0
JCMH,15E,nurse log,0
JCMH,15E,vegetation,95
JCMH,15F,litter,5
JCMH,15F,bareground,0
JCMH,15F,nurse log,0
JCMH,15F,vegetation,95
JCMH,16A,litter,20
JCMH,16A,bareground,0
JCMH,16A,nurse log,0
JCMH,16A,vegetation,85
JCMH,16B,litter,70
JCMH,16B,bareground,0
JCMH,16B,nurse log,0
JCMH,16B,vegetation,80
JCMH,16C,litter,5
JCMH,16C,bareground,0
JCMH,16C,nurse log,0
JCMH,16C,vegetation,95
JCMH,16D,litter,80
JCMH,16D,bareground,0
JCMH,16D,nurse log,0
JCMH,16D,vegetation,50
JCMH,16E,litter,15
JCMH,16E,bareground,0
JCMH,16E,nurse log,0
JCMH,16E,vegetation,80
JCMH,16F,litter,30
JCMH,16F,bareground,0
JCMH,16F,nurse log,0
JCMH,16F,vegetation,80
JCMH,17A,litter,40
JCMH,17A,bareground,0
JCMH,17A,nurse log,0
JCMH,17A,vegetation,70
JCMH,17B,litter,95
JCMH,17B,bareground,0
JCMH,17B,nurse log,0
JCMH,17B,vegetation,20
JCMH,17C,litter,80
JCMH,17C,bareground,0
JCMH,17C,nurse log,0
JCMH,17C,vegetation,30
JCMH,17D,litter,10
JCMH,17D,bareground,0
JCMH,17D,nurse log,0
JCMH,17D,vegetation,90
JCMH,17E,litter,90
JCMH,17E,bareground,0
JCMH,17E,nurse log,0
JCMH,17E,vegetation,20
JCMH,17F,litter,10
JCMH,17F,bareground,0
JCMH,17F,nurse log,0
JCMH,17F,vegetation,90
